Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1950   -29  -29   -7  -19  -11  -10  -15  -21  -12  -18  -33  -19    -19 -18    -25  -12  -16  -21  1950
1951   -33  -43  -20   -9    4   -5    0    8    6   10   -1   12     -6  -9    -32   -8    1    5  1951
1952    14   12   -9    5    0   -2    7    5    7   -2  -15   -1      2   3     13   -1    3   -3  1952
1953    11   20   13   20   10    6    0    8    7    7   -2    6      9   8     10   14    5    4  1953
1954   -22  -10  -13  -15  -19  -14  -17  -14   -6   -1    9  -15    -11 -10     -8  -16  -15    1  1954
1955    16  -16  -31  -18  -20  -10   -8    8   -9   -3  -26  -31    -12 -11     -5  -23   -3  -13  1955
1956   -16  -23  -19  -24  -25  -14   -9  -27  -15  -22  -14   -9    -18 -20    -23  -23  -17  -17  1956
1957   -11   -7   -8    0    5   12   -3   15    9    0    6   16      3   1     -9   -1    8    5  1957
1958    37   24    9    2    5  -11    0   -8   -7    1    2   -1      5   6     26    6   -6   -1  1958
1959     8    7   17   14    3    2    5   -1   -5   -9   -8    1      3   3      4   11    2   -8  1959
1960    -4   12  -36  -17  -11   -3   -6   -1    5    6  -12   16     -4  -5      3  -21   -3    0  1960
1961     5   18    8   12   13   12    0    3    5    0    3  -16      5   8     13   11    5    3  1961
1962     7   15   10    7   -5    4    2    1   -1    0    9    0      4   3      2    4    2    3  1962
1963    -1   20  -15   -7   -5    6   12   24   20   16   17    1      8   8      7   -9   14   18  1963
1964    -7  -11  -23  -30  -25   -5   -6  -23  -29  -29  -18  -28    -19 -17     -5  -26  -11  -25  1964
1965    -6  -17  -10  -19  -12  -11  -13   -4  -15   -5   -5   -5    -10 -12    -17  -14   -9   -9  1965
1966   -16    0    7  -12   -9    0    7   -7   -1  -13    0   -4     -4  -4     -7   -5    0   -4  1966
1967    -5  -18    8   -2   14   -8    1    2   -5    9   -5    0     -1  -1     -9    6   -2    0  1967
1968   -21  -12   26   -2  -10   -5   -7   -8  -17   11   -4  -13     -5  -4    -11    4   -6   -4  1968
1969   -11  -14    0   16   15    6   -3    2    9   12   14   29      6   3    -13   10    2   12  1969
1970    10   24    9    9   -3    1    0   -8   11    5    2  -11      4   7     21    5   -2    6  1970
1971    -1  -18  -16   -8   -4  -16   -9    0    2   -3   -2   -5     -7  -7    -10   -9   -8   -1  1971
1972   -24  -16    3   -1    1    9    4   18    2    8    2   19      2   0    -15    1   10    4  1972
1973    27   31   26   26   24   17   10    4    9   13    5   -6     15  18     26   25   10    9  1973
1974   -14  -26   -5  -10   -2   -6   -4   10  -11   -6   -7   -9     -7  -7    -15   -6    0   -8  1974
1975     8    7   14    4   15    2    0  -20   -3  -10  -16  -18     -1  -1      2   11   -6  -10  1975
1976    -3   -8  -22   -9  -22  -15   -9  -16  -10  -29   -8    4    -12 -14    -10  -18  -14  -16  1976
1977    12   15   21   23   27   25   20   16   -3   -1   16    3     14  15     10   23   20    4  1977
1978     5   10   19   12    4   -1    5  -17    7    1   14    6      5   5      6   12   -4    7  1978
1979    10  -12   14    8    0    9   -3    8   20   19   23   42     11   8      1    7    5   21  1979
1980    24   36   25   29   29   14   22   22   18   13   23   15     22  25     34   28   19   18  1980
1981    51   37   45   27   19   26   28   29   12    7   16   35     28  26     34   31   28   12  1981
1982     4   11   -7    4   10    1   11    4    8    8    9   38      9   8     17    3    6    8  1982
1983    49   35   37   27   33   16   12   27   34   11   27   12     27  29     40   32   19   24  1983
1984    25   11   24    5   31    3   12   11   13   10    0   -8     11  13     16   20    9    8  1984
1985    19   -9   12    5   13   14   -4   10    9    7    5   10      8   6      1   10    7    7  1985
1986    24   32   24   21   21   10    9    8   -4    8    5   10     14  14     22   22    9    3  1986
1987    30   40   11   20   21   31   40   21   33   26   20   43     28  25     26   18   31   26  1987
1988    52   36   44   39   39   37   30   39   36   34    6   27     35  36     43   41   35   25  1988
1989    11   30   31   27   11   11   29   30   31   28   14   31     24  23     23   23   23   24  1989
1990    34   35   71   49   40   33   38   26   25   36   40   37     39  38     34   53   32   34  1990
1991    38   46   31   46   33   50   46   36   42   26   27   29     38  38     40   37   44   31  1991
1992    41   37   42   21   28   21   10    5   -4    4    0   18     19  20     36   31   12    0  1992
1993    34   36   33   22   22   19   24   10    5   18    4   16     20  20     29   26   18    9  1993
1994    26   -2   23   37   24   36   26   18   29   39   42   35     28  26     13   28   27   37  1994
1995    48   75   42   44   25   42   46   44   29   45   41   28     42  43     53   37   44   38  1995
1996    24   46   30   33   27   24   33   47   23   18   39   39     32  31     32   30   35   27  1996
1997    30   35   52   35   36   51   33   39   51   60   60   57     45  43     35   41   41   57  1997
1998    59   85   62   62   67   75   67   67   44   41   46   54     61  61     67   63   69   44  1998
1999    47   65   30   33   30   37   40   34   39   39   37   44     39  40     55   31   37   38  1999
2000    22   55   55   57   39   41   40   42   41   25   30   26     40  41     40   50   41   32  2000
2001    41   45   57   50   56   52   58   48   51   46   67   51     52  50     37   54   53   55  2001
2002    71   73   88   55   61   53   57   52   61   53   57   41     60  61     65   68   54   57  2002
2003    71   53   54   51   60   46   53   64   62   72   51   71     59  56     55   55   54   62  2003
2004    55   66   62   58   40   39   21   40   49   62   69   48     51  53     64   53   33   60  2004
2005    68   55   66   66   60   63   61   59   73   76   71   64     65  64     57   64   61   73  2005
2006    52   65   58   44   43   60   50   65   58   65   69   74     59  58     60   48   58   64  2006
2007    92   65   67   71   63   55   57   56   61   56   53   45     62  64     77   67   56   57  2007
2008    22   31   69   48   46   43   54   39   58   61   62   51     49  48     33   54   45   61  2008
2009    56   48   49   56   59   61   66   61   64   57   71   58     59  58     52   55   63   64  2009
2010    65   74   87   81   70   59   56   59   55   65   74   45     66  67     66   80   58   65  2010
