Year,CO2 ppm,Global Temp
1965,320.044167,-10
1966,321.383333,-4
1967,322.1575,-1
1968,323.045,-5
1969,324.624167,6
1970,325.68,4
1971,326.32,-7
1972,327.453333,2
1973,329.676667,15
1974,330.176667,-7
1975,295.2025,-1
1976,332.053333,-12
1977,333.781667,14
1978,335.409167,5
1979,336.781667,11
1980,338.679167,22
1981,340.1,28
1982,341.436667,9
1983,343.025,27
1984,307.35,11
1985,346.041667,8
1986,347.384167,14
1987,349.160833,28
1988,351.563333,35
1989,353.0675,24
1990,354.346667,39
1991,355.566667,38
1992,356.3825,19
1993,357.0675,20
1994,358.8225,28
1995,360.795833,42
1996,362.5875,32
1997,363.705,45
1998,366.6525,61
1999,368.325833,39
2000,369.525,40
2001,371.13,52
2002,373.215,60
2003,375.774167,59
2004,377.490833,51
2005,379.8,65
2006,381.904167,59
2007,383.764167,62
2008,385.585833,49
2009,387.366667,59
2010,389.844167,66
